                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.31708,                0.44748,                0.90192,                0.50728,                0.70887,                0.68762,                0.67656,                 0.2627,                 1.2399,                0.87915,               0.000482,               0.000482,               0.000482
                     48,                0.31977,                0.43436,                0.90149,                0.71967,                0.48361,                0.68552,                0.66737,                0.26375,                 1.2002,                0.88899,               0.000449,               0.000449,               0.000449
                     49,                0.31552,                0.43407,                0.89701,                0.55799,                0.62086,                0.70509,                0.69157,                0.24557,                 1.1662,                0.85975,               0.000416,               0.000416,               0.000416
                     50,                0.31347,                0.43425,                0.89535,                 0.5301,                0.67213,                0.69469,                0.68142,                 0.2541,                 1.1614,                0.88439,               0.000383,               0.000383,               0.000383
                     51,                0.29454,                0.71662,                0.90111,                0.66342,                0.59836,                0.73168,                0.71602,                0.24107,                0.91186,                0.85881,                0.00035,                0.00035,                0.00035
                     52,                0.27392,                0.62281,                 0.8926,                0.66752,                0.59016,                0.73906,                0.72677,                0.22467,                0.91769,                0.86446,               0.000317,               0.000317,               0.000317
                     53,                0.26797,                 0.5823,                0.89283,                0.57362,                0.64754,                0.72641,                0.71555,                0.22017,                0.94355,                0.86035,               0.000284,               0.000284,               0.000284
                     54,                0.25885,                0.54882,                0.87877,                0.58319,                0.72131,                0.74215,                0.72926,                0.22631,                0.98169,                0.85616,               0.000251,               0.000251,               0.000251
                     55,                0.25763,                0.53841,                0.88042,                0.76007,                0.58197,                0.76961,                0.75562,                0.22221,                0.88047,                0.85552,               0.000218,               0.000218,               0.000218
                     56,                0.25602,                0.51769,                0.87978,                0.65539,                0.60797,                0.74689,                0.73061,                0.22273,                0.93492,                0.86079,               0.000185,               0.000185,               0.000185
                     57,                0.23921,                0.49431,                0.86682,                0.71693,                0.59016,                0.76203,                0.74444,                0.23115,                0.94853,                0.87902,               0.000152,               0.000152,               0.000152
                     58,                0.23805,                0.47494,                0.86991,                0.67677,                0.64754,                0.75563,                0.73814,                0.23133,                0.93206,                0.87277,               0.000119,               0.000119,               0.000119
                     59,                0.23199,                0.45521,                0.86629,                 0.7005,                0.63115,                0.76162,                0.74972,                0.21363,                0.94779,                0.85264,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.23309,                0.44908,                0.86259,                0.70641,                0.61475,                0.76338,                0.75052,                0.21593,                0.94692,                0.85945,                5.3e-05,                5.3e-05,                5.3e-05
